Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC2,1,18650,
"C10, C12, C13, C14, C15, C46, C47, C48, C49, C5, C6, C7, C8, C9",1206,14,10p,
C11,0603,1,10n,
"C16, C32, C33, C36, C37, C40, C41, C42, C43",0603,9,100n,
C17,CP_EIA-6032-28_Kemet-C_Pad2.25x2.35mm_HandSolder,1,100u,
"C18, C19",0603,2,Adj,
"C20, C29, C30, C50, C51",0603,5,4u7,
"C21, C22",0603,2,1n,
"C23, C24",0603,2,510p,
"C25, C26",C_Trimmer_Voltronics_JZ,2,8-40pF,
"C27, C28, C34, C35",0603,4,10p,
"C31, C38, C39, C44, C45",1210,5,22u,
D1,TSOT-23,1,D_Dual_CommonAnode_AKK,
D2,SOT-363_SC-70-6,1,BAV199DW,
"D3, D4",0603,2,LED,
F1,1206,1,Fuse,
FB1,1206,1,600 OHM,
"J1, J2",NetTie-2_SMD_Pad2.0mm,2,Conn_01x01_Pin,
J3,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J4,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,1,Conn_Coaxial,
L1,1008,1,4u7,
"R1, R2",0603,2,5k1,
"R10, R11, R12, R3, R4, R5, R6, R7, R8, R9",1206,10,3M,
"R13, R14",0805,2,22k,
"R15, R16",0805,2,220k,
"R17, R18, R38, R39, R40, R41",0603,6,0,
R19,0603,1,22k,
"R20, R21",0603,2,4k7,
"R22, R23, R29, R30, R31, R32",0603,6,100,
R24,0603,1,10k,
"R25, R26",0603,2,1k,
R27,0603,1,2,
R28,0603,1,22,
R33,1206,1,0,
R34,1206,1,51,
R35,0603,1,464k,
R36,0603,1,121k,
R37,0603,1,590k,
R42,0603,1,200,
RV1,Potentiometer_Bourns_3266W_Vertical,1,0 to 1k,
SW2,SW_DIP_SPSTx03_Slide_KingTek_DSHP03TS_W7.62mm_P1.27mm,1,SW_DIP_x03,
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24072RGT,
"U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,3,OPA810xD,
U5,QFN50P300X300X80-17N,1,TPS65135RTER,
